issue_key,summary,group_key,group_domain,group_release,group_worktype,group_priority,group_has_pr,dev_has_activity,indegree,outdegree,component_id,is_root,is_leaf
OFBIZ-10188,Add new FileUtil methods for zip management,,,,,,,,0,0,4041,1,1
OFBIZ-10189,Invoice in status approved - cancel,,,,,,,,0,0,8886,1,1
OFBIZ-1019,PHP Hash Syntax Request Arguments Patch,,,,,,,,0,0,6488,1,1
OFBIZ-10190,Update order calculation,,,,,,,,0,0,5266,1,1
OFBIZ-10191,Translate invoice type dropdown,,,,,,,,0,0,8701,1,1
OFBIZ-10192,German translation correction (CLIENT),,,,,,,,0,0,4413,1,1
OFBIZ-10193,remove hardcoded viewSize for product search,,,,,,,,0,0,11142,1,1
OFBIZ-10194,ContentWrapper empty string result breaks simple FTL null check and default syntax,,,,,,,,0,0,6441,1,1
OFBIZ-10195,Add the ability in performFind service to set OR search criteria,,,,,,,,0,0,4195,1,1
OFBIZ-10196,Set security object on groovy context,,,,,,,,0,0,492,1,1
OFBIZ-10197,Added isEmpty interface to StringWrapper,,,,,,,,0,0,5596,1,1
OFBIZ-10198,Extended UtilHttp.urlEncodeArgs API with preserveEmpty-parameter to be able to get a query string with empty parameters,,,,,,,,0,0,5426,1,1
OFBIZ-10199,Extended UtilFormatOut with new method formatPercentageRate,,,,,,,,0,0,6977,1,1
OFBIZ-102,Cross-Redirect handling bug,,,,,,,,0,0,4563,1,1
OFBIZ-1020,DatabaseUtil ofbiz startup scan fix,,,,,,,,0,0,2213,1,1
OFBIZ-10200,Change log level from INFO to VERBOSE for detail logging in UtilCache.findSizeInByte,,,,,,,,0,0,8968,1,1
OFBIZ-10201,Extend updatePassword service API with optional parameter requirePasswordChange,,,,,,,,0,0,7325,1,1
OFBIZ-10202,Make removeContentAndRelated service fail-save for missing content and remove related ContentAttributes also,,,,,,,,0,0,1813,1,1
OFBIZ-10203,Additional API in ShoppingCart to maintain additionalPartyRoleMap by roleTypeId only,,,,,,,,0,0,4778,1,1
OFBIZ-10204,The form field title of categoryName for japanese is wrong.,,,,,,,,0,0,7926,1,1
OFBIZ-10205,The setToComplete of ofbizsetup run in error when running demo General Chart Of Accounts.,,,,,,,,0,0,5733,1,1
OFBIZ-10206,Security issue in Token Based Authentication,,,,,,,,0,0,2235,1,1
OFBIZ-10207,Show title information on Entity Data Maintenance page,,,,,,,,0,0,9211,1,1
OFBIZ-10208,Error on Add Item to Shopping List Screen,,,,,,,,0,0,2483,1,1
OFBIZ-10209,Add seqId to GlAccountClass table to support the sorting of GLAccount sub classes,,,,,,,,0,0,3431,1,1
OFBIZ-1021,Ofbiz hang on startup ModelReader Patch,,,,,,,,0,0,9643,1,1
OFBIZ-10210,Values are not aligned with column over EditShoppingList Screen ,,,,,,,,0,0,10007,1,1
OFBIZ-10211,Crash while confirming a demand ,,,,,,,,0,0,4717,1,1
OFBIZ-10212,Open ecommerce by default on user default language ,,,,,,,,0,0,1281,1,1
OFBIZ-10213,Update build.gradle to the latest dependencies,,,,,,,,0,0,645,1,1
OFBIZ-10214,Update build.gradle to the latest dependencies,,,,,,,,0,0,11957,1,1
OFBIZ-10215,Configure invoice templates for an organizational party,,,,,,,,0,0,5689,1,1
OFBIZ-10216,Configure order templates for an organizational party,,,,,,,,0,0,9512,1,1
OFBIZ-10217,Configure quote templates for an organizational party,,,,,,,,0,0,5221,1,1
OFBIZ-10218,UtilNumber.getBigDecimalRoundingMode() returns a wrong value,,,,,,,,0,0,2025,1,1
OFBIZ-10219,Category tree items are not rendering on ecommerce screen,,,,,,,,0,0,792,1,1
OFBIZ-1022,JobManager startup recovery patch,,,,,,,,0,0,10737,1,1
