Task_ID,Topo_Level,Batch_Index,Summary,Task_Tag,Priority,Duration_Hours,Assigned_To,Start_Hour,End_Hour,Skill_Match
2893,1,1,"trivial update to ""convertUom"" script",Bug fixing / Maintenance,Trivial,1.6,A-149,0.0,1.6,1
2908,1,1,very trivial update to filedlookup.js: encodeURI before construct a new href value for nav-buttons in layered lookup dialog.,Bug fixing / Maintenance,Trivial,1.6,A-393,0.0,1.6,0
292,1,1,Better error message when Unable to bind RMIDispatcher to RMI,Feature / Improvement Implementation,Trivial,1.6,A-112,0.0,1.6,0
2921,1,1,French translation missing in portal pages management,Feature / Improvement Implementation,Trivial,1.6,A-87,0.0,1.6,1
293,1,1,FacilityContactMechServices.xml patches,Build & Release Engineering,Trivial,1.6,A-340,0.0,1.6,0
2945,1,1,"createuserlogin, createUserLogin duplicate request map entries",Bug fixing / Maintenance,Trivial,1.6,A-190,0.0,1.6,0
2947,1,1,disable Page Push/Following...Push URL...Follow session feature,Bug fixing / Maintenance,Trivial,1.6,A-323,0.0,1.6,1
2959,1,1,List css before js in ecommerce header,Feature / Improvement Implementation,Trivial,1.6,A-218,0.0,1.6,1
2965,1,1,Invoice sorting in Order Details View is broken,Bug fixing / Maintenance,Trivial,1.6,A-306,0.0,1.6,1
2966,1,1,"Chinese (""zh_CN"") translation for CommonPerson",Feature / Improvement Implementation,Trivial,1.6,A-269,0.0,1.6,1
2967,1,1,trivial update to ModelViewEntity.java,Bug fixing / Maintenance,Trivial,1.6,A-45,0.0,1.6,0
298,1,1,FacilityContactMech: broken nonenglish chars,Bug fixing / Maintenance,Trivial,1.6,A-297,0.0,1.6,0
2983,1,1,Duplicate 'Continue Shopping' link on order complete page,Bug fixing / Maintenance,Trivial,1.6,A-170,0.0,1.6,1
2984,1,1,OnePageCheckout billToAddress2 label has style info,Bug fixing / Maintenance,Trivial,1.6,A-244,0.0,1.6,0
2988,1,1,Simplify createReturnStatus SECA,Feature / Improvement Implementation,Trivial,1.6,A-336,0.0,1.6,1
2993,1,1,CommonUpdatingData is missing from CommonUiLabels,Bug fixing / Maintenance,Trivial,1.6,A-30,0.0,1.6,1
2997,1,1,redundant LookupContactList in product app,Bug fixing / Maintenance,Trivial,1.6,A-124,0.0,1.6,1
2999,1,1,typo in description of ContactList.isSingleUse field,Bug fixing / Maintenance,Trivial,1.6,A-418,0.0,1.6,1
