from_issue_key,to_issue_key,link_type,raw_link_type,direction
ZOOKEEPER-366,ZOOKEEPER-1366,is duplicated by,Duplicate,inward
ZOOKEEPER-1616,ZOOKEEPER-1366,is duplicated by,Duplicate,inward
ZOOKEEPER-1366,ZOOKEEPER-1626,relates to,Reference,outward
ZOOKEEPER-2774,ZOOKEEPER-1366,is required by,Required,inward
ZOOKEEPER-1364,ZOOKEEPER-2549,relates to,Reference,outward
ZOOKEEPER-1364,ZOOKEEPER-3601,relates to,Reference,outward
HDFS-435,ZOOKEEPER-1364,is related to,Reference,inward
ZOOKEEPER-1355,ZOOKEEPER-762,relates to,Reference,outward
ZOOKEEPER-1355,ZOOKEEPER-390,relates to,Reference,outward
ZOOKEEPER-1355,ZOOKEEPER-107,relates to,Reference,outward
ZOOKEEPER-1683,ZOOKEEPER-1355,is related to,Reference,inward
ZOOKEEPER-3726,ZOOKEEPER-1355,is related to,Reference,inward
ZOOKEEPER-1355,ZOOKEEPER-338,supercedes,Supercedes,outward
ZOOKEEPER-1660,ZOOKEEPER-1355,is depended upon by,dependent,inward
ZOOKEEPER-1349,ZOOKEEPER-784,duplicates,Duplicate,outward
ZOOKEEPER-1504,ZOOKEEPER-1347,Is contained by,Container,inward
ZOOKEEPER-1346,ZOOKEEPER-1729,blocks,Blocker,outward
ZOOKEEPER-1197,ZOOKEEPER-1346,is related to,Reference,inward
ZOOKEEPER-737,ZOOKEEPER-1346,is related to,Reference,inward
ZOOKEEPER-1968,ZOOKEEPER-1346,is related to,Reference,inward
ZOOKEEPER-1334,ZOOKEEPER-2056,relates to,Reference,outward
ZOOKEEPER-1647,ZOOKEEPER-1334,is related to,Reference,inward
ZOOKEEPER-1078,ZOOKEEPER-1334,is related to,Reference,inward
CAMEL-4803,ZOOKEEPER-1334,is depended upon by,dependent,inward
ZOOKEEPER-1326,ZOOKEEPER-729,supercedes,Supercedes,outward
ZOOKEEPER-1694,ZOOKEEPER-1324,is duplicated by,Duplicate,inward
ZOOKEEPER-1324,ZOOKEEPER-1697,relates to,Reference,outward
ZOOKEEPER-1324,ZOOKEEPER-107,relates to,Reference,outward
ZOOKEEPER-1391,ZOOKEEPER-1307,is related to,Reference,inward
ZOOKEEPER-271,ZOOKEEPER-1307,is superceded by,Supercedes,inward
ZOOKEEPER-1461,ZOOKEEPER-1305,is duplicated by,Duplicate,inward
ZOOKEEPER-1297,ZOOKEEPER-1851,relates to,Reference,outward
ZOOKEEPER-2402,ZOOKEEPER-1295,Is contained by,Container,inward
ZOOKEEPER-1295,ZOOKEEPER-3593,relates to,Reference,outward
ZOOKEEPER-1285,ZOOKEEPER-1092,supercedes,Supercedes,outward
ZOOKEEPER-1285,ZOOKEEPER-1228,depends upon,dependent,outward
ZOOKEEPER-1285,ZOOKEEPER-1230,depends upon,dependent,outward
ZOOKEEPER-1285,ZOOKEEPER-1259,depends upon,dependent,outward
ZOOKEEPER-1285,ZOOKEEPER-1255,depends upon,dependent,outward
ZOOKEEPER-1285,ZOOKEEPER-1276,depends upon,dependent,outward
ZOOKEEPER-1285,ZOOKEEPER-1279,depends upon,dependent,outward
ZOOKEEPER-1285,ZOOKEEPER-1253,depends upon,dependent,outward
ZOOKEEPER-1285,ZOOKEEPER-1258,depends upon,dependent,outward
