issue_key,event_time,from_status,to_status
MAPREDUCE-7166,2018-11-30T05:43:56.208000+00:00,Patch Available,In Progress
MAPREDUCE-7166,2018-11-30T06:21:19.111000+00:00,In Progress,Patch Available
MAPREDUCE-7166,2018-12-20T01:10:52.388000+00:00,Patch Available,Resolved
MAPREDUCE-7165,2018-11-29T05:54:28.674000+00:00,Open,Patch Available
MAPREDUCE-7165,2018-11-30T04:32:01.159000+00:00,Patch Available,Resolved
MAPREDUCE-7164,2018-11-26T22:11:03.553000+00:00,Open,Patch Available
MAPREDUCE-7164,2018-11-28T23:04:50.711000+00:00,Patch Available,Resolved
MAPREDUCE-7163,2018-11-26T15:13:00.727000+00:00,Open,Patch Available
MAPREDUCE-7162,2018-11-25T11:31:24.567000+00:00,Open,Patch Available
MAPREDUCE-7162,2018-11-27T11:03:22.003000+00:00,Patch Available,Resolved
MAPREDUCE-7159,2018-11-23T15:46:29.751000+00:00,Open,Patch Available
MAPREDUCE-7159,2018-12-06T21:05:50.960000+00:00,Patch Available,Resolved
MAPREDUCE-7158,2018-11-12T19:32:01.916000+00:00,Open,Patch Available
MAPREDUCE-7158,2018-11-13T19:37:39.931000+00:00,Patch Available,Resolved
MAPREDUCE-7156,2018-10-31T10:58:33.689000+00:00,Open,Patch Available
MAPREDUCE-7156,2018-11-07T00:19:47.689000+00:00,Patch Available,Resolved
MAPREDUCE-7155,2018-10-22T18:46:20.443000+00:00,Open,Patch Available
MAPREDUCE-7154,2018-11-01T13:15:06.996000+00:00,Open,Resolved
MAPREDUCE-7153,2018-10-16T15:10:10.275000+00:00,Open,Patch Available
MAPREDUCE-7152,2018-10-15T13:53:20.270000+00:00,Open,Patch Available
MAPREDUCE-7152,2018-11-27T16:43:06.308000+00:00,Patch Available,Resolved
MAPREDUCE-7151,2018-10-17T13:27:59.607000+00:00,Open,Patch Available
MAPREDUCE-7151,2018-10-24T18:15:58.641000+00:00,Patch Available,Resolved
MAPREDUCE-7150,2018-10-12T01:51:30.962000+00:00,Open,Patch Available
MAPREDUCE-7150,2018-10-12T18:48:18.418000+00:00,Patch Available,In Progress
MAPREDUCE-7150,2018-10-12T18:48:41.370000+00:00,In Progress,Patch Available
MAPREDUCE-7150,2018-10-12T23:43:27.540000+00:00,Patch Available,In Progress
MAPREDUCE-7150,2018-10-12T23:43:53.607000+00:00,In Progress,Patch Available
