issue_key,jira_id,task_id
MAPREDUCE-5293,12650583,537
MAPREDUCE-5294,12650584,537
MAPREDUCE-1409,12446523,538
MAPREDUCE-1411,12446625,539
MAPREDUCE-1414,12446710,540
MAPREDUCE-1417,12446776,541
MAPREDUCE-1610,12459607,541
MAPREDUCE-1418,12446779,542
MAPREDUCE-1420,12446800,543
MAPREDUCE-2271,12495967,543
MAPREDUCE-2311,12498069,543
MAPREDUCE-1421,12446875,544
MAPREDUCE-3063,12523893,544
MAPREDUCE-3170,12526783,544
MAPREDUCE-1422,12446883,545
MAPREDUCE-1423,12446885,546
MAPREDUCE-1424,12446924,547
MAPREDUCE-1425,12446954,548
MAPREDUCE-1428,12446963,549
MAPREDUCE-1430,12447032,550
MAPREDUCE-2420,12503362,550
MAPREDUCE-1432,12447058,551
MAPREDUCE-1433,12447083,552
MAPREDUCE-1435,12454886,553
MAPREDUCE-1436,12454977,554
MAPREDUCE-1437,12455019,555
MAPREDUCE-3215,12527823,555
MAPREDUCE-5561,12672236,555
MAPREDUCE-1440,12455086,556
MAPREDUCE-1441,12455096,557
MAPREDUCE-1442,12455107,558
MAPREDUCE-1443,12455108,559
MAPREDUCE-1444,12455109,560
MAPREDUCE-1445,12455110,561
MAPREDUCE-1446,12455111,562
MAPREDUCE-1448,12455144,563
MAPREDUCE-1449,12455241,564
MAPREDUCE-1451,12455250,565
MAPREDUCE-1452,12455257,566
MAPREDUCE-1454,12455270,567
MAPREDUCE-1455,12455275,568
MAPREDUCE-1456,12455331,569
MAPREDUCE-1457,12455348,570
MAPREDUCE-1464,12455517,571
MAPREDUCE-1465,12455663,572
MAPREDUCE-1466,12455671,573
MAPREDUCE-1467,12455706,574
MAPREDUCE-1468,12455710,575
MAPREDUCE-1469,12455711,576
MAPREDUCE-7177,13210025,576
MAPREDUCE-1470,12455725,577
MAPREDUCE-1472,12455848,578
MAPREDUCE-1473,12455859,579
MAPREDUCE-1474,12455860,580
MAPREDUCE-1475,12455876,581
MAPREDUCE-1476,12455885,582
MAPREDUCE-1477,12455887,583
MAPREDUCE-1480,12455962,584
MAPREDUCE-1482,12455988,585
MAPREDUCE-1483,12456001,586
MAPREDUCE-1484,12456047,587
MAPREDUCE-1489,12456209,588
MAPREDUCE-1490,12456250,589
MAPREDUCE-1491,12456254,590
MAPREDUCE-1492,12456259,591
MAPREDUCE-1493,12456294,592
MAPREDUCE-1494,12456312,593
MAPREDUCE-1495,12456322,594
MAPREDUCE-1497,12456410,595
