from_issue_key,to_issue_key,link_type,raw_link_type,direction,from_summary,to_summary,same_group,same_component,same_release
MAPREDUCE-2677,MAPREDUCE-2675,is blocked by,Blocker,inward,MR-279: 404 error while accessing pages from history server,MR-279: JobHistory Server main page needs to be reformatted,0,0,0
MAPREDUCE-2701,MAPREDUCE-2675,is blocked by,Blocker,inward,MR-279: app/Job.java needs UGI for the user that launched it,MR-279: JobHistory Server main page needs to be reformatted,0,0,0
MAPREDUCE-2510,MAPREDUCE-143,blocks,Blocker,outward,TaskTracker throw OutOfMemoryError after upgrade to jetty6,OOM in the TaskTracker while serving map outputs,0,0,0
MAPREDUCE-2469,MAPREDUCE-2107,blocks,Blocker,outward,Task counters should also report the total heap usage of the task,Emulate Memory Usage of Tasks in GridMix3,0,0,0
MAPREDUCE-2445,MAPREDUCE-2327,blocks,Blocker,outward,TestMiniMRWithDFSWithDistinctUsers is very broken,MapTask doesn't need to put username information in SpillRecord,0,0,0
MAPREDUCE-2413,MAPREDUCE-2415,is blocked by,Blocker,inward,TaskTracker should handle disk failures at both startup and runtime,Distribute TaskTracker userlogs onto multiple disks,0,0,0
MAPREDUCE-2413,MAPREDUCE-2415,blocks,Blocker,outward,TaskTracker should handle disk failures at both startup and runtime,Distribute TaskTracker userlogs onto multiple disks,0,0,0
MAPREDUCE-2153,MAPREDUCE-2408,is blocked by,Blocker,inward,Bring in more job configuration properties in to the trace file,Make Gridmix emulate usage of data compression,0,0,0
MAPREDUCE-2153,MAPREDUCE-2407,is blocked by,Blocker,inward,Bring in more job configuration properties in to the trace file,Make Gridmix emulate usage of Distributed Cache files,0,0,0
MAPREDUCE-2401,MAPREDUCE-2107,blocks,Blocker,outward,Can not change scheduling mode of default pool,Emulate Memory Usage of Tasks in GridMix3,0,0,0
MAPREDUCE-2178,MAPREDUCE-2376,is blocked by,Blocker,inward,Race condition in LinuxTaskController permissions handling,test-task-controller fails if run as a userid < 1000,0,0,0
MAPREDUCE-2178,MAPREDUCE-2371,is blocked by,Blocker,inward,Race condition in LinuxTaskController permissions handling,TaskLogsTruncater does not need to check log ownership when running as Child,0,0,0
MAPREDUCE-4253,MAPREDUCE-2338,is blocked by,Blocker,inward,Tests for mapreduce-client-core are lying under mapreduce-client-jobclient,Deprecate field selection methods on JobConf,0,0,0
MAPREDUCE-3223,MAPREDUCE-2328,is blocked by,Blocker,inward,Remove MR1 configs from mapred-default.xml,memory-related configurations missing from mapred-default.xml,0,0,0
MAPREDUCE-2445,MAPREDUCE-2327,is blocked by,Blocker,inward,TestMiniMRWithDFSWithDistinctUsers is very broken,MapTask doesn't need to put username information in SpillRecord,0,0,0
MAPREDUCE-2178,MAPREDUCE-2266,is blocked by,Blocker,inward,Race condition in LinuxTaskController permissions handling,JvmManager sleeps between SIGTERM and SIGKILL while holding many TT locks,0,0,0
MAPREDUCE-2178,MAPREDUCE-2376,blocks,Blocker,outward,Race condition in LinuxTaskController permissions handling,test-task-controller fails if run as a userid < 1000,0,0,0
MAPREDUCE-2178,MAPREDUCE-2266,blocks,Blocker,outward,Race condition in LinuxTaskController permissions handling,JvmManager sleeps between SIGTERM and SIGKILL while holding many TT locks,0,0,0
MAPREDUCE-2178,MAPREDUCE-2371,blocks,Blocker,outward,Race condition in LinuxTaskController permissions handling,TaskLogsTruncater does not need to check log ownership when running as Child,0,0,0
MAPREDUCE-2153,MAPREDUCE-2407,blocks,Blocker,outward,Bring in more job configuration properties in to the trace file,Make Gridmix emulate usage of Distributed Cache files,0,0,0
MAPREDUCE-2153,MAPREDUCE-2408,blocks,Blocker,outward,Bring in more job configuration properties in to the trace file,Make Gridmix emulate usage of data compression,0,0,0
MAPREDUCE-2153,MAPREDUCE-2725,blocks,Blocker,outward,Bring in more job configuration properties in to the trace file,Make Gridmix configure job specific config properties for the simulated jobs,0,0,0
MAPREDUCE-2401,MAPREDUCE-2107,is blocked by,Blocker,inward,Can not change scheduling mode of default pool,Emulate Memory Usage of Tasks in GridMix3,0,0,0
MAPREDUCE-2469,MAPREDUCE-2107,is blocked by,Blocker,inward,Task counters should also report the total heap usage of the task,Emulate Memory Usage of Tasks in GridMix3,0,0,0
MAPREDUCE-2104,MAPREDUCE-1702,blocks,Blocker,outward,Rumen TraceBuilder Does Not Emit CPU/Memory Usage Details in Traces,CPU/Memory emulation for GridMix3,0,0,0
MAPREDUCE-901,MAPREDUCE-2102,is blocked by,Blocker,inward,Move Framework Counters into a TaskMetric structure,Collect iops per task,0,0,0
MAPREDUCE-2033,MAPREDUCE-2030,blocks,Blocker,outward,[Herriot] Gridmix generate data tests with various submission policies and different user resolvers.,Throwing IOException while submitting the gridmix jobs consecutively through ToolRunner.,0,0,0
MAPREDUCE-2033,MAPREDUCE-2030,is blocked by,Blocker,inward,[Herriot] Gridmix generate data tests with various submission policies and different user resolvers.,Throwing IOException while submitting the gridmix jobs consecutively through ToolRunner.,0,0,0
MAPREDUCE-323,MAPREDUCE-1988,is blocked by,Blocker,inward,Improve the way job history files are managed,We would like more information to be available in job history index,0,0,0
